text,label
오늘은 돈 써도 되는 날이다,소고기
매운 거 먹고 땀 빼고 싶다,마라탕
몸이 아파서 편한 음식이 필요하다,죽
밥이 들어간 간편식이 좋다,김밥
불금이라 맛있는 배달 음식 먹고 싶다,치킨
달콤한 팥 디저트가 당긴다,빙수
가볍게 먹고 싶다,죽
기쁜 일이 있어서 고기로 축하하고 싶다,소고기
시험 끝났다,치킨
배달로 편하게 먹을 음식이 필요하다,피자
오늘은 바삭한 음식이 당긴다,파전
여름밤에 먹을 디저트 추천해줘,빙수
찬바람 맞고 들어왔더니 국물이 당긴다,칼국수
자극 없는 따뜻한 음식이 먹고 싶다,죽
여럿이 나눠 먹을 메뉴가 필요하다,피자
더워서 밥보다 디저트가 당긴다,빙수
햇볕이 너무 강해서 시원한 게 먹고 싶다,빙수
오늘은 차가운 간식으로 버티고 싶다,빙수
주말에 영화 보면서 먹고 싶다,피자
카페에서 먹을 디저트 추천해줘,빙수
오늘 기분 좋아서 치팅데이 하고 싶다,치킨
치즈 들어간 배달 음식 추천해줘,피자
배탈이 나서 자극 없는 음식이 좋다,죽
간단하게 매운 음식 먹고 싶다,떡볶이
친구랑 배달 메뉴 고르는 중이다,피자
고급스러운 고기 메뉴가 필요하다,소고기
소화 잘 되는 한 끼가 필요하다,죽
고소하고 바삭한 한 끼가 필요하다,파전
위에 부담 없는 음식이 필요하다,죽
건강 챙기는 음식이 먹고 싶다,삼계탕
몸이 축 처진다,삼계탕
아플 때 먹기 좋은 메뉴가 필요하다,죽
카페에서 친구랑 나눠먹을 걸 찾고 있다,빙수
오늘은 기름진 음식이 부담스럽다,죽
친구랑 편하게 먹을 음식이 필요하다,피자
답답한 하루라 자극적인 맛이 필요하다,마라탕
비 오는 날 국룰 음식이 먹고 싶다,파전
맛있는 고기를 먹고 싶다,소고기
건강하게 배부른 음식이 좋다,삼계탕
축하할 자리 음식 추천해줘,소고기
기념일이라 좋은 음식이 필요하다,소고기
오늘은 신나는 분위기의 음식이 좋다,치킨
가볍게 손으로 먹을 수 있는 음식이 좋다,피자
가볍게 기분전환할 음식이 필요하다,떡볶이
땀이 너무 많이 난다,빙수
체력 회복에 좋은 음식이 필요하다,삼계탕
오늘은 속이 따뜻해지는 메뉴가 좋다,칼국수
치팅데이에 먹을 메뉴를 찾고 있다,치킨
맥주랑 어울리는 음식이 먹고 싶다,치킨
넷플릭스 보면서 먹을 음식이 필요하다,피자
편하게 포장 가능한 메뉴가 좋다,김밥
쌀쌀한 저녁에는 따뜻한 국수가 좋다,칼국수
오늘은 보양식 느낌의 메뉴가 좋다,삼계탕
매운맛으로 정신 차리고 싶다,마라탕
주말이라 배달음식 먹고 싶다,치킨
단백질 많은 음식이 먹고 싶다,소고기
몸살 기운이 있어서 뜨끈한 게 당긴다,칼국수
가성비 좋은 한 끼가 필요하다,김밥
시원한 거 먹으면서 쉬고 싶다,빙수
고소하고 든든한 양식이 먹고 싶다,피자
기운 없을 때 먹을 메뉴가 필요하다,삼계탕
경기 보면서 먹을 음식이 필요하다,치킨
떡과 어묵이 들어간 음식이 좋다,떡볶이
부모님과 외식할 메뉴가 필요하다,소고기
도시락으로 싸기 좋은 음식이 필요하다,김밥
속을 달래는 음식이 먹고 싶다,죽
오늘은 매운 국물이 땡긴다,마라탕
요즘 너무 지쳐서 보양식이 필요하다,삼계탕
기운이 없다,삼계탕
학교 가기 전에 먹을 간단한 음식 추천해줘,김밥
간단한 야식이 먹고 싶다,떡볶이
오늘은 고급 한 끼가 당긴다,소고기
몸이 안 좋아서 간단히 먹고 싶다,죽
컨디션이 안 좋아서 순한 메뉴가 필요하다,죽
기분 내고 싶은 저녁이다,피자
입안 가득 시원한 음식이 먹고 싶다,빙수
아침에 먹기 편한 음식 추천해줘,죽
오늘은 보양식으로 회복하고 싶다,삼계탕
몸보신 메뉴가 필요한 날이다,삼계탕
속 편한 음식 추천해줘,죽
바삭한 전이 너무 생각난다,파전
가볍게 먹을 매운 메뉴가 필요하다,떡볶이
나에게 보상하고 싶다,소고기
눅눅한 날씨에는 바삭한 게 먹고 싶다,파전
오늘은 혀가 얼얼한 음식이 좋다,마라탕
배는 고픈데 무겁게 먹고 싶지 않다,김밥
오늘은 차가운 음식보다 따뜻한 음식이 끌린다,칼국수
우울한 기분을 날리고 싶다,마라탕
월급 들어와서 제대로 먹고 싶다,소고기
분식 메뉴 중에 매콤한 게 먹고 싶다,떡볶이
비 오는 날 분위기 있는 음식이 좋다,파전
게임하면서 먹기 좋은 음식 추천해줘,치킨
종강해서 맛있는 거 먹고 싶다,치킨
오늘은 건강한 한 끼로 먹고 싶다,삼계탕
달달하고 시원한 게 먹고 싶다,빙수
매콤한 소스에 찍어 먹는 음식이 좋다,떡볶이
이동 중에도 먹기 편한 음식이 좋다,김밥
친구 생일파티 음식 추천해줘,치킨
시원한 디저트가 먹고 싶다,빙수
담백하고 따뜻한 음식이 필요하다,칼국수
오늘은 쫄깃한 떡이 먹고 싶다,떡볶이
쫄깃하고 매운 음식이 생각난다,떡볶이
